id,brand,model,price,screen,camera,network,color,number_reviews,delivery_time,pickup_time,date,memory_GB,rating100,screen_price_ratio
14070437.0,SAMSUNG,Galaxy S24 Ultra,1499.0,"6.8""",200 MP,5G,Titanium Black,,1.0,1.0,2024-04-11,1000.0,,0.0045363575717144765
13899737.0,APPLE,iPhone 15 Pro Max,1599.0,"6.7""",48 MP,5G,Titan Blau,,,,2024-04-11,1000.0,100.0,0.004190118824265166
14103195.0,SAMSUNG,Galaxy A55 5G,429.95,"6.6""",50 MP,5G,Awesome Iceblue,,1.0,1.0,2024-04-11,128.0,,0.015350622165368066
14082853.0,XIAOMI,Redmi 13C,149.95,"6.74""",50 MP,,Schwarz,,1.0,1.0,2024-04-11,256.0,,0.04494831610536846
14070422.0,SAMSUNG,Galaxy S24,799.0,"6.2""",50 MP,5G,Cobalt Violet,,1.0,1.0,2024-04-11,256.0,100.0,0.007759699624530663
13899679.0,APPLE,iPhone 15 Plus,949.0,"6.7""",48 MP,5G,Blau,,1.0,1.0,2024-04-11,256.0,100.0,0.007060063224446786
6242462.0,APPLE,iPhone SE 2022,389.0,"4.7""",12 MP,5G,(PRODUCT)RED,,1.0,1.0,2024-04-11,64.0,100.0,0.012082262210796916
9071628.0,APPLE,iPhone 14,729.0,"6.1""",12 MP,5G,Polarstern,,1.0,1.0,2024-04-11,256.0,,0.008367626886145405
14103193.0,SAMSUNG,Galaxy A55 5G,429.95,"6.6""",50 MP,5G,Awesome Lilac,,1.0,1.0,2024-04-11,128.0,,0.015350622165368066
5865115.0,EMPORIA,JOY- LTE,89.9,"2.8""",2 MP,,Schwarz,3.0,1.0,1.0,2024-04-11,0.128,90.0,0.031145717463848716
14082839.0,XIAOMI,Redmi Note 13 Pro+,399.95,"6.67""",200 MP,5G,Aurora Purple,,1.0,1.0,2024-04-11,512.0,,0.01667708463557945
997928.0,APPLE,iPhone 12,519.0,"6.1""",12 MP,5G,Schwarz,12.0,1.0,1.0,2024-04-11,128.0,90.0,0.011753371868978804
14070435.0,SAMSUNG,Galaxy S24+,949.0,"6.7""",50 MP,5G,Onyx Black,,1.0,1.0,2024-04-11,256.0,,0.007060063224446786
14040953.0,SAMSUNG,Galaxy S23 FE,499.0,"6.4""",50 MP,5G,Graphite,,1.0,1.0,2024-04-11,128.0,,0.01282565130260521
6242461.0,APPLE,iPhone SE 2022,389.0,"4.7""",12 MP,5G,Polarstern,,1.0,1.0,2024-04-11,64.0,100.0,0.012082262210796916
14070442.0,SAMSUNG,Galaxy S24 Ultra,1299.0,"6.8""",200 MP,5G,Titanium Gray,,1.0,1.0,2024-04-11,512.0,100.0,0.005234795996920708
5033384.0,XIAOMI,Redmi Note 11,129.95,"6.43""",50 MP,,Graphite Gray,,1.0,1.0,2024-04-11,64.0,,0.04948056944978838
1018403.0,APPLE,iPhone 13,649.0,"6.1""",12 MP,5G,Rosé,,,,2024-04-11,256.0,100.0,0.009399075500770416
13897328.0,GOOGLE,Pixel 7a,369.0,"6.1""",64 MP,5G,"Sea Blue, Blau",,1.0,1.0,2024-04-11,128.0,,0.016531165311653117
9071627.0,APPLE,iPhone 14,729.0,"6.1""",12 MP,5G,Mitternacht,,1.0,1.0,2024-04-11,256.0,100.0,0.008367626886145405
997912.0,APPLE,iPhone 12,519.0,"6.1""",12 MP,5G,Violett,,1.0,1.0,2024-04-11,128.0,90.0,0.011753371868978804
14082858.0,XIAOMI,Redmi Note 13,179.95,"6.67""",108 MP,,Midnight black,,14.0,14.0,2024-04-11,128.0,,0.037065851625451514
14070427.0,SAMSUNG,Galaxy S24,799.0,"6.2""",50 MP,5G,Marble Gray,,14.0,14.0,2024-04-11,256.0,100.0,0.007759699624530663
13899656.0,APPLE,iPhone 15,849.0,"6.1""",48 MP,5G,Grün,,1.0,1.0,2024-04-11,256.0,,0.0071849234393404
13899713.0,APPLE,iPhone 15 Pro,1499.0,"6.1""",48 MP,5G,Titan Blau,,1.0,1.0,2024-04-11,1000.0,80.0,0.004069379586390927
14103189.0,SAMSUNG,Galaxy A35 5G,359.95,"6.6""",50 MP,5G,Awesome Lilac,,1.0,1.0,2024-04-11,128.0,,0.018335879983331017
