id,brand,model,price,memory,screen,camera,network,color,number_reviews,rating,delivery_time,pickup_time,date,webpage
9071621,APPLE,iPhone 14,629.0,128 GB,"6.1""",12 MP,5G,Violett,6,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-128-gb-6-1-12-mp-violett--p0009071621
14082838,XIAOMI,Redmi Note 13 Pro+,399.95,512 GB,"6.67""",200 MP,5G,Midnight black,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-note-13-pro-512-gb-midnight-black-6-67-200-mp-5g--p0014082838
13685800,SAMSUNG,Galaxy S23 Ultra,849.0,256 GB,"6.8""",200 MP,5G,Phantom Black,5,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s23-ultra-5g-256-gb-6-8-200-mp-phantom-black--p0013685800
9071623,APPLE,iPhone 14,629.0,128 GB,"6.1""",12 MP,5G,Blau,6,4.5,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-128-gb-6-1-12-mp-blau--p0009071623
13899730,APPLE,iPhone 15 Pro Max,1349.0,512 GB,"6.7""",48 MP,5G,Titan Natur,5,5.0,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-512-gb-titan-natur-6-7-48-mp-5g--p0013899730
13899706,APPLE,iPhone 15 Pro,1279.0,512 GB,"6.1""",48 MP,5G,Titan Natur,,,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-512-gb-titan-natur-6-1-48-mp-5g--p0013899706
14103194,SAMSUNG,Galaxy A55 5G,479.95,256 GB,"6.6""",50 MP,5G,Awesome Iceblue,,2.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a55-5g-256-gb-awesome-iceblue-6-6-50-mp-5g--p0014103194
6242450,APPLE,iPhone 13,649.0,256 GB,"6.1""",12 MP,5G,Grün,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-256-gb-6-1-12-mp-gr%C3%BCn--p0006242450
13899728,APPLE,iPhone 15 Pro Max,1349.0,512 GB,"6.7""",48 MP,5G,Titan Schwarz,,3.0,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-512-gb-titan-schwarz-6-7-48-mp-5g--p0013899728
14074052,SAMSUNG,Galaxy A15 5G,199.95,128 GB,"6.5""",50 MP,5G,"Schwarz, Blau",,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a15-5g-128-gb-schwarz-blau-6-5-50-mp-5g--p0014074052
1018402,APPLE,iPhone 13,649.0,256 GB,"6.1""",12 MP,5G,Polarstern,3,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-256-gb-6-1-12-mp-polarstern--p0002866481
13899677,APPLE,iPhone 15 Plus,949.0,256 GB,"6.7""",48 MP,5G,Pink,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-plus-256-gb-pink-6-7-48-mp-5g--p0013899677
14070438,SAMSUNG,Galaxy S24 Ultra,1299.0,512 GB,"6.8""",200 MP,5G,Titanium Black,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s24-ultra-512-gb-titanium-black-6-8-200-mp-5g--p0014070438
14103191,SAMSUNG,Galaxy A55 5G,429.95,128 GB,"6.6""",50 MP,5G,Awesome Navy,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a55-5g-128-gb-awesome-navy-6-6-50-mp-5g--p0014103191
14103190,SAMSUNG,Galaxy A55 5G,479.95,256 GB,"6.6""",50 MP,5G,Awesome Navy,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a55-5g-256-gb-awesome-navy-6-6-50-mp-5g--p0014103190
14037024,XIAOMI,Redmi 12,179.95,256 GB,"6.79""",50 MP,,Schwarz,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-12-256-gb-schwarz-6-79-50-mp--p0014037024
9071629,APPLE,iPhone 14,729.0,256 GB,"6.1""",12 MP,5G,Violett,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-256-gb-6-1-12-mp-violett--p0009071629
9071631,APPLE,iPhone 14,729.0,256 GB,"6.1""",12 MP,5G,Blau,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-256-gb-6-1-12-mp-blau--p0009071631
13899731,APPLE,iPhone 15 Pro Max,1349.0,512 GB,"6.7""",48 MP,5G,Titan Blau,,5.0,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-512-gb-titan-blau-6-7-48-mp-5g--p0013899731
13899729,APPLE,iPhone 15 Pro Max,1349.0,512 GB,"6.7""",48 MP,5G,Titan Weiss,,,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-max-512-gb-titan-weiss-6-7-48-mp-5g--p0013899729
13685803,SAMSUNG,Galaxy S23 Ultra,849.0,256 GB,"6.8""",200 MP,5G,Creme,3,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s23-ultra-5g-256-gb-6-8-200-mp-creme--p0013685803
